date,open,high,low,close,previous,previous_ratio,volume
22/04/11,"26,877.60","27,004.50","26,720.46","26,821.52",-164.28,-0.6,"1,148,890,000"
22/04/08,"27,097.05","27,185.23","26,764.36","26,985.80",97.23,0.4,"1,270,960,000"
22/04/07,"27,032.42","27,042.49","26,801.79","26,888.57",-461.73,-1.7,"1,188,110,000"
22/04/06,"27,533.88","27,549.67","27,214.61","27,350.30",-437.68,-1.6,"1,174,860,000"
22/04/05,"27,965.94","27,965.94","27,662.28","27,787.98",51.51,0.2,"1,155,440,000"
22/04/04,"27,685.65","27,754.24","27,578.81","27,736.47",70.49,0.3,"1,009,460,000"
22/04/01,"27,624.11","27,738.31","27,399.48","27,665.98",-155.45,-0.6,"1,190,290,000"
22/03/31,"27,809.97","28,101.68","27,763.96","27,821.43",-205.82,-0.7,"1,340,430,000"
22/03/30,"28,250.80","28,281.45","27,736.27","28,027.25",-225.17,-0.8,"1,404,420,000"
22/03/29,"28,173.43","28,252.42","28,063.92","28,252.42",308.53,1.1,"1,362,360,000"
22/03/28,"28,084.08","28,084.08","27,812.67","27,943.89",-205.95,-0.7,"1,110,240,000"
22/03/25,"28,338.81","28,338.81","27,946.79","28,149.84",39.45,0.1,"1,186,850,000"
22/03/24,"27,693.77","28,110.39","27,624.62","28,110.39",70.23,0.3,"1,242,100,000"
22/03/23,"27,606.79","28,056.20","27,604.37","28,040.16",816.05,3,"1,414,730,000"
22/03/22,"27,091.32","27,284.47","27,076.33","27,224.11",396.68,1.5,"1,533,230,000"
22/03/18,"26,649.50","26,862.43","26,592.98","26,827.43",174.54,0.7,"1,807,720,000"
22/03/17,"26,170.38","26,702.94","26,152.89","26,652.89",890.88,3.5,"1,474,190,000"
22/03/16,"25,574.90","25,824.94","25,470.46","25,762.01",415.53,1.6,"1,339,860,000"
22/03/15,"25,228.53","25,441.67","25,219.13","25,346.48",38.63,0.2,"1,222,080,000"
22/03/14,"25,338.64","25,631.01","25,299.64","25,307.85",145.07,0.6,"1,187,020,000"
22/03/11,"25,495.03","25,503.65","24,966.50","25,162.78",-527.62,-2.1,"1,421,330,000"
22/03/10,"25,108.47","25,720.31","25,099.85","25,690.40",972.87,3.9,"1,504,030,000"
22/03/09,"24,876.49","25,084.08","24,681.74","24,717.53",-73.42,-0.3,"1,500,510,000"
22/03/08,"24,974.35","25,291.33","24,767.33","24,790.95",-430.46,-1.7,"1,873,400,000"
22/03/07,"25,634.09","25,640.41","25,006.26","25,221.41",-764.06,-2.9,"1,750,530,000"
22/03/04,"26,421.85","26,421.85","25,774.28","25,985.47",-591.8,-2.2,"1,529,250,000"
22/03/03,"26,628.87","26,704.85","26,496.72","26,577.27",184.24,0.7,"1,234,940,000"
22/03/02,"26,532.20","26,585.30","26,313.72","26,393.03",-451.69,-1.7,"1,425,530,000"
22/03/01,"26,836.74","27,013.26","26,821.75","26,844.72",317.9,1.2,"1,247,160,000"
22/02/28,"26,457.52","26,644.56","26,262.63","26,526.82",50.32,0.2,"1,448,220,000"
22/02/25,"26,213.20","26,481.60","26,160.19","26,476.50",505.68,1.9,"1,338,990,000"
22/02/24,"26,281.35","26,357.58","25,775.64","25,970.82",-478.79,-1.8,"1,594,120,000"
22/02/22,"26,515.45","26,550.14","26,243.73","26,449.61",-461.26,-1.7,"1,138,930,000"
22/02/21,"26,771.58","26,998.47","26,549.00","26,910.87",-211.2,-0.8,"938,590,000"
22/02/18,"26,895.16","27,216.16","26,792.54","27,122.07",-110.8,-0.4,"1,125,660,000"
22/02/17,"27,431.42","27,438.74","27,080.92","27,232.87",-227.53,-0.8,"1,180,690,000"
22/02/16,"27,269.05","27,486.09","27,227.24","27,460.40",595.21,2.2,"1,155,780,000"
22/02/15,"27,183.56","27,205.20","26,724.91","26,865.19",-214.4,-0.8,"1,343,900,000"
22/02/14,"27,305.92","27,325.50","26,947.65","27,079.59",-616.49,-2.2,"1,379,810,000"
22/02/10,"27,818.10","27,880.70","27,575.07","27,696.08",116.21,0.4,"1,396,240,000"
22/02/09,"27,488.65","27,633.10","27,405.88","27,579.87",295.35,1.1,"1,502,670,000"
22/02/08,"27,318.30","27,461.33","27,280.25","27,284.52",35.65,0.1,"1,288,150,000"
22/02/07,"27,327.63","27,369.68","27,085.32","27,248.87",-191.12,-0.7,"1,302,180,000"
22/02/04,"27,095.90","27,455.98","27,075.99","27,439.99",198.68,0.7,"1,357,650,000"
22/02/03,"27,330.96","27,357.33","27,165.93","27,241.31",-292.29,-1.1,"1,292,790,000"
22/02/02,"27,302.99","27,564.62","27,289.16","27,533.60",455.12,1.7,"1,374,560,000"
22/02/01,"27,167.14","27,410.79","27,016.71","27,078.48",76.5,0.3,"1,373,980,000"
22/01/31,"26,690.60","27,134.57","26,541.65","27,001.98",284.64,1.1,"1,314,610,000"
22/01/28,"26,429.85","26,764.85","26,289.69","26,717.34",547.04,2.1,"1,329,650,000"
22/01/27,"27,139.88","27,193.59","26,044.52","26,170.30",-841.03,-3.1,"1,545,260,000"
22/01/26,"27,105.98","27,184.54","26,858.68","27,011.33",-120.01,-0.4,"1,033,470,000"
22/01/25,"27,466.82","27,493.75","26,890.94","27,131.34",-457.03,-1.7,"1,320,310,000"
22/01/24,"27,258.45","27,627.60","27,203.33","27,588.37",66.11,0.2,"1,080,960,000"
22/01/21,"27,404.36","27,586.42","27,129.61","27,522.26",-250.67,-0.9,"1,235,000,000"
22/01/20,"27,401.43","27,882.53","27,217.59","27,772.93",305.7,1.1,"1,282,470,000"
22/01/19,"27,928.89","27,958.17","27,314.41","27,467.23",-790.02,-2.8,"1,513,740,000"
22/01/18,"28,451.34","28,690.34","28,129.66","28,257.25",-76.27,-0.3,"1,226,570,000"
22/01/17,"28,332.72","28,449.99","28,274.18","28,333.52",209.24,0.7,"995,870,000"
22/01/14,"28,246.99","28,252.96","27,889.21","28,124.28",-364.85,-1.3,"1,408,150,000"
22/01/13,"28,658.22","28,660.45","28,444.96","28,489.13",-276.53,-1,"1,163,570,000"
22/01/12,"28,449.53","28,814.31","28,427.60","28,765.66",543.18,1.9,"1,197,950,000"
22/01/11,"28,380.90","28,473.47","28,089.49","28,222.48",-256.08,-0.9,"1,246,770,000"
22/01/07,"28,711.53","28,813.09","28,293.70","28,478.56",-9.31,0,"1,289,050,000"
22/01/06,"29,136.75","29,158.95","28,487.87","28,487.87",-844.29,-2.9,"1,210,640,000"
22/01/05,"29,288.80","29,388.16","29,204.45","29,332.16",30.37,0.1,"1,259,720,000"
22/01/04,"29,098.41","29,323.79","28,954.56","29,301.79",510.08,1.8,"1,109,930,000"
21/12/30,"28,794.24","28,904.42","28,579.49","28,791.71",-115.17,-0.4,"729,840,000"
21/12/29,"28,995.73","29,106.28","28,729.61","28,906.88",-162.28,-0.6,"852,580,000"
21/12/28,"28,953.32","29,121.01","28,879.68","29,069.16",392.7,1.4,"952,490,000"
21/12/27,"28,786.33","28,805.28","28,658.82","28,676.46",-106.13,-0.4,"777,480,000"
21/12/24,"28,836.05","28,870.13","28,773.50","28,782.59",-15.78,-0.1,"746,720,000"
21/12/23,"28,703.01","28,798.37","28,640.15","28,798.37",236.16,0.8,"813,500,000"
21/12/22,"28,614.06","28,673.77","28,473.85","28,562.21",44.62,0.2,"874,920,000"
21/12/21,"28,309.60","28,533.74","28,226.43","28,517.59",579.78,2.1,"1,015,660,000"
21/12/20,"28,325.46","28,441.51","27,893.18","27,937.81",-607.87,-2.1,"1,142,330,000"
21/12/17,"28,854.60","28,904.94","28,503.08","28,545.68",-520.64,-1.8,"1,440,020,000"
21/12/16,"28,868.37","29,070.08","28,782.19","29,066.32",606.6,2.1,"1,053,520,000"
21/12/15,"28,358.47","28,525.83","28,358.47","28,459.72",27.08,0.1,"990,230,000"
21/12/14,"28,554.86","28,672.96","28,309.67","28,432.64",-207.85,-0.7,"985,940,000"
21/12/13,"28,705.26","28,793.32","28,593.45","28,640.49",202.72,0.7,"955,790,000"
21/12/10,"28,542.50","28,699.01","28,392.87","28,437.77",-287.7,-1,"1,114,090,000"
21/12/09,"28,827.32","28,908.29","28,725.47","28,725.47",-135.15,-0.5,"984,720,000"
21/12/08,"28,792.89","28,897.44","28,621.47","28,860.62",405.02,1.4,"1,219,770,000"
21/12/07,"28,138.82","28,618.46","27,961.66","28,455.60",528.23,1.9,"1,291,110,000"
21/12/06,"28,069.96","28,081.04","27,693.91","27,927.37",-102.2,-0.4,"1,086,940,000"
21/12/03,"27,841.05","28,029.57","27,588.61","28,029.57",276.2,1,"1,233,330,000"
21/12/02,"27,716.20","27,938.55","27,644.96","27,753.37",-182.25,-0.7,"1,348,490,000"
21/12/01,"27,866.73","28,106.30","27,594.01","27,935.62",113.86,0.4,"1,441,190,000"
21/11/30,"28,611.73","28,718.70","27,819.14","27,821.76",-462.16,-1.6,"2,545,760,000"
21/11/29,"28,337.96","28,776.34","28,187.12","28,283.92",-467.7,-1.6,"1,530,620,000"
21/11/26,"29,324.47","29,332.99","28,605.61","28,751.62",-747.66,-2.5,"1,302,900,000"
21/11/25,"29,469.65","29,570.42","29,444.45","29,499.28",196.62,0.7,"959,840,000"
21/11/24,"29,663.45","29,758.05","29,212.93","29,302.66",-471.45,-1.6,"1,221,870,000"
21/11/22,"29,618.55","29,806.49","29,542.29","29,774.11",28.24,0.1,"1,065,380,000"
21/11/19,"29,641.05","29,768.54","29,589.19","29,745.87",147.21,0.5,"1,196,350,000"
21/11/18,"29,597.93","29,715.95","29,402.57","29,598.66",-89.67,-0.3,"1,220,400,000"
21/11/17,"29,906.68","29,909.97","29,623.79","29,688.33",-119.79,-0.4,"1,173,390,000"
21/11/16,"29,749.71","29,960.93","29,681.25","29,808.12",31.32,0.1,"1,190,590,000"
21/11/15,"29,807.37","29,861.88","29,718.21","29,776.80",166.83,0.6,"1,163,410,000"
21/11/12,"29,381.45","29,661.22","29,381.45","29,609.97",332.11,1.1,"1,321,450,000"
21/11/11,"29,046.19","29,336.03","29,040.08","29,277.86",171.08,0.6,"1,190,300,000"
21/11/10,"29,209.06","29,296.88","29,079.77","29,106.78",-178.68,-0.6,"1,153,290,000"
21/11/09,"29,557.55","29,750.46","29,240.31","29,285.46",-221.59,-0.8,"1,199,550,000"
